B0冲突页列核验状态ID,来源第一闭环字段状态看板,来源第一闭环字段确认公开账本,来源第一闭环任务复核公开账本,来源第一闭环页列候选看板,来源第一闭环执行队列,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,第一闭环页列优先级,字段状态看板ID,第一闭环页列候选看板ID,第一闭环核验执行队列ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,页列任务数,B0页列冲突任务数,同页非冲突待闭环任务数,同页B0B1计划数冲突专项记录数,同页疑似学费错位专项记录数,同页计划数不一致专项记录数,涉及专业行数,冲突涉及专业行数,专业行ID集合SHA256,冲突专业行ID集合SHA256,第一闭环任务ID集合SHA256,B0冲突任务ID集合SHA256,涉及字段范围集合,B0冲突字段范围集合,B0冲突专业计划数字段数,B0冲突学费字段数,B0冲突再选科目字段数,B0冲突字段组合摘要,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,PDFOCR与高校辅证一致仍需官方闭环任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,无候选需人工看图任务数,需要人工直接看图任务数,需要双人复核任务数,PDF原页待记录任务数,湖北官方侧待记录任务数,高校辅证待记录任务数,三方待确认任务数,字段事实写回可进入任务数,字段事实写回阻断任务数,任务级人工动作桶摘要,候选关系桶摘要,私有复核页列CSV证据编号,私有复核页列CSV_SHA256,私有复核页列HTML证据编号,私有复核页列HTML_SHA256,B0冲突闭环状态,B0冲突优先级判定,建议下一步动作,完成条件,公开安全策略
FIRSTB0STATUS-49426baa76375e44,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-49426baa76375e44,FIRSTPAGECAND-2fe31f8f7c0833de,FIRSTEXEC-2fe31f8f7c0833de,FIRSTPAGE-49426baa76375e44,135,left,135-left,10,10,0,10,10,0,10,10,eeafb1981fa3e20da36bdc4a5f252863da325cf884688931e35c820c2d2b0a2c,eeafb1981fa3e20da36bdc4a5f252863da325cf884688931e35c820c2d2b0a2c,4b5c932e832ca2fe7f73f9584f762a069815335ffa3b16cfb598198371835a2e,4b5c932e832ca2fe7f73f9584f762a069815335ffa3b16cfb598198371835a2e,专业计划数；再选科目；学费,专业计划数；再选科目；学费,10,10,1,专业计划数；学费=9；专业计划数；学费；再选科目=1,10,0,10,10,0,0,0,0,10,10,10,10,10,10,0,10,先核PDF原页，再核湖北官方侧，最后对照高校辅证=10,R0-PDFOCR与高校辅证存在冲突=10,first-closure-135-left-csv,3749a224b2d361f77757e776c625bc6688aab2940536d9471d3902ed66198374,first-closure-135-left-html,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,R0-B0冲突未闭环，字段事实不得写回,P0-整页列高冲突，先双人核PDF原页与湖北官方侧,先按私有页列材料逐项核PDF原页，再补湖北官方侧记录；B0冲突字段必须双人复核，高校官网只作提示，不可替代湖北官方计划。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-97ab0abc16a6bf85,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,2,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-97ab0abc16a6bf85,FIRSTPAGECAND-f236d4d82a7316c1,FIRSTEXEC-f236d4d82a7316c1,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,5,3,2,3,3,0,5,3,6f1f70c7ae43e060a6b180a31fae224a0f64322f13a9f44d92afab5f643854b1,2f732fce194355b3bfe03ff555f59c8fdf7374768329c83c3e4d0fd102be21da,35d5e9e75dc9c4b65e994bc737e4729e4a27494ca0a2c30d83e220de5384edc5,11e5cdb426d6ab94da41028c70cbed83066d25dc3d16cf2d039811972fdf4644,专业计划数；再选科目；学费,专业计划数；再选科目；学费,3,3,3,专业计划数；学费；再选科目=3,4,1,3,3,0,0,1,0,3,4,5,5,5,5,0,5,先核PDF原页，再核湖北官方侧，最后对照高校辅证=3；按PDFOCR候选回看PDF原页，再核湖北官方侧=1；按机器坐标提示回看PDF原页，再核湖北官方侧=1,R0-PDFOCR与高校辅证存在冲突=3；R3-仅PDFOCR候选待人工核页=1；R5-无候选需人工看图=1,first-closure-199-left-csv,ba674bdd41297d68a49abd28a56f76e55b8864c5cbafbbc0534e5b53c281c715,first-closure-199-left-html,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-e942d34407576c0d,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,3,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-e942d34407576c0d,FIRSTPAGECAND-5b77311f3134fdd6,FIRSTEXEC-5b77311f3134fdd6,FIRSTPAGE-e942d34407576c0d,209,right,209-right,13,2,11,2,0,2,9,2,abdc89ef9906387836de93fc0ff0e01153e85161c4192304d5a80ed860bc45b2,fdb04f88d5dbb08fa2b6d5677565247b62f811e9aab9a2fa58aca7d0cdd28749,2b6dac3f008ab633cdfa66e0acc495bf59d0751acaec7bdf3b3f13d436a6f124,b7095ed1573d7473806a5912d9b08f89b2b88de1d2ddc40e158297c7396b7f93,专业计划数；再选科目；学费,专业计划数；再选科目；学费,2,2,2,专业计划数；学费；再选科目=2,9,0,6,2,4,0,3,4,6,4,13,13,13,13,0,13,先核PDF原页，再核湖北官方侧，最后对照高校辅证=2；按PDFOCR候选回看PDF原页，再核湖北官方侧=7；直接回看PDF原页和页列上下文=4,R0-PDFOCR与高校辅证存在冲突=2；R1-PDFOCR与高校辅证存在一致字段=4；R3-仅PDFOCR候选待人工核页=3；R5-无候选需人工看图=4,first-closure-209-right-csv,d7b17679040dde852a21d99e6832761c22ba853179cac937c841d37b330b5ea6,first-closure-209-right-html,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-815b76bed7962001,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,4,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGECAND-670dd8fd3630cdb9,FIRSTEXEC-670dd8fd3630cdb9,FIRSTPAGE-815b76bed7962001,169,right,169-right,22,1,21,1,0,1,12,1,5d69476fa4cd2520a75edf117338db24f33c11a87bc1475ae8b10025d307e59f,cfcd68f6309b88f619c5eaa42ea708af42a3bb8a800c147553fab7b939e01dae,f450896d976d918f8dd26dae7d9f911e2a655c04cb5125c964791dc8dcd6fd12,493c0c8594ca2e013157c00afa750ad821999dc26a8a22c33d664dd6f1e4c664,专业计划数；再选科目；学费,专业计划数；学费,1,1,0,专业计划数；学费=1,12,0,11,1,0,10,1,10,11,10,22,22,22,22,0,22,先核PDF原页，再核湖北官方侧，最后对照高校辅证=1；按PDFOCR候选回看PDF原页，再核湖北官方侧=11；直接回看PDF原页和页列上下文=10,R0-PDFOCR与高校辅证存在冲突=1；R2-高校有线索但PDFOCR缺候选=10；R3-仅PDFOCR候选待人工核页=1；R5-无候选需人工看图=10,first-closure-169-right-csv,8d2e621c1b192890a6ee204ea288ca2f979404c32a58ac367530244a088095f1,first-closure-169-right-html,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-ffc90431edf15154,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,5,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-ffc90431edf15154,FIRSTPAGECAND-9d09fa448802d3c6,FIRSTEXEC-9d09fa448802d3c6,FIRSTPAGE-ffc90431edf15154,18,left,018-left,17,4,13,1,0,1,9,4,ae12d7b637e9b866798453aff9e6d1ce0a2a20536ef07ad6f43a4516effb82f8,badbade0c452abe0d2e6e293edb6e3695c98fd7dac8c74a922733f6961575e9d,6d0475e597528d7a1d0d8b5a7a8e2587cdeabbf8d7916ed1176783f54788b114,03a7354c0dd3910e32ee6e2ea63b14551743721c945ffa6ddfd43b1bac0fa82f,专业计划数；再选科目；学费,专业计划数；再选科目；学费,4,4,4,专业计划数；学费；再选科目=4,9,5,9,4,5,0,0,3,7,4,17,17,17,17,0,17,先核PDF原页，再核湖北官方侧，最后对照高校辅证=4；按PDFOCR候选回看PDF原页，再核湖北官方侧=5；按机器坐标提示回看PDF原页，再核湖北官方侧=5；直接回看PDF原页和页列上下文=3,R0-PDFOCR与高校辅证存在冲突=4；R1-PDFOCR与高校辅证存在一致字段=5；R5-无候选需人工看图=8,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-f58ca9d1af902d1a,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,6,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-f58ca9d1af902d1a,FIRSTPAGECAND-39cfc7bcbd00517f,FIRSTEXEC-39cfc7bcbd00517f,FIRSTPAGE-f58ca9d1af902d1a,37,left,037-left,5,1,4,0,0,0,5,1,671b6d45c15cb61d83bcf0faf9a071b6573476708fb9df5132bb6ab407ce3dee,c1d4cd0b83598667aee2b3561ed597c7abb77752b458aaadaef2db88323f4b32,dd4dc3738d81ee7a2d5b7f7ad06559e3d4b9b693c339cdd368f780d1e751a49e,4f352aec8b89e507758a0d97c6874dcfc3b914995781cad930da80cf600e0be5,专业计划数；再选科目；学费,专业计划数；再选科目；学费,1,1,1,专业计划数；学费；再选科目=1,3,0,1,1,0,0,2,2,3,3,5,5,5,5,0,5,先核PDF原页，再核湖北官方侧，最后对照高校辅证=1；按PDFOCR候选回看PDF原页，再核湖北官方侧=2；直接回看PDF原页和页列上下文=2,R0-PDFOCR与高校辅证存在冲突=1；R3-仅PDFOCR候选待人工核页=2；R5-无候选需人工看图=2,first-closure-037-left-csv,45764205a4d1dca12cc954cf6ef874a8854e8fd28dea0d7dc448d3a45d6b5ae9,first-closure-037-left-html,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,R0-B0冲突未闭环，字段事实不得写回,P3-单点冲突，随同页列材料完成核验,作为同页列补充核验项处理；仍需PDF原页、湖北官方侧和高校辅证三方记录后再写回。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-7826a50352856b5d,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,7,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-7826a50352856b5d,FIRSTPAGECAND-14b8d8af7e604892,FIRSTEXEC-14b8d8af7e604892,FIRSTPAGE-7826a50352856b5d,137,right,137-right,1,1,0,1,0,1,1,1,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,专业计划数；再选科目；学费,专业计划数；再选科目；学费,1,1,1,专业计划数；学费；再选科目=1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,先核PDF原页，再核湖北官方侧，最后对照高校辅证=1,R0-PDFOCR与高校辅证存在冲突=1,first-closure-137-right-csv,1e3869e64f8ae8274d7523e73512578c6a09d32b9fab351b612bc6178ca740e0,first-closure-137-right-html,48cfec58e00b283afc47cb5de9ec3915fedf243d60acae136c44f2d62a125706,R0-B0冲突未闭环，字段事实不得写回,P3-单点冲突，随同页列材料完成核验,作为同页列补充核验项处理；仍需PDF原页、湖北官方侧和高校辅证三方记录后再写回。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-4c0f16a37d308b85,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,9,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTFSTATUS-4c0f16a37d308b85,FIRSTPAGECAND-49dfd962eacfb463,FIRSTEXEC-49dfd962eacfb463,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,16,1,15,0,0,0,9,1,a167e8a939199069e5d821392394ad05c8c3eb25ae99e8d4486ba5489889a021,fa64cdfbc22f1237ae3cf958cfb9b3aa0745d11710df31c8fb0874c68f63a847,ba8efc01022de607e76d9f31c36a45bf931aa2b68e730f610422eb6fcba1f59c,4d7da1ab2555b61fd177c3c2a3fec2606a6c489549ec0b624aa5b8b80cad1120,专业计划数；再选科目；学费,专业计划数；再选科目；学费,1,1,1,专业计划数；学费；再选科目=1,8,5,7,1,0,6,1,3,4,3,16,16,15,16,0,16,先核PDF原页，再核湖北官方侧，最后对照高校辅证=1；按PDFOCR候选回看PDF原页，再核湖北官方侧=7；按机器坐标提示回看PDF原页，再核湖北官方侧=5；直接回看PDF原页和页列上下文=3,R0-PDFOCR与高校辅证存在冲突=1；R2-高校有线索但PDFOCR缺候选=6；R3-仅PDFOCR候选待人工核页=1；R5-无候选需人工看图=8,first-closure-056-left-csv,44c5a7bde2f4747e5e502a3aced01d4d98962055d18f710326d2109d07a5b276,first-closure-056-left-html,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,R0-B0冲突未闭环，字段事实不得写回,P3-单点冲突，随同页列材料完成核验,作为同页列补充核验项处理；仍需PDF原页、湖北官方侧和高校辅证三方记录后再写回。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-b55961124bc8610b,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,19,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTFSTATUS-b55961124bc8610b,FIRSTPAGECAND-73b0a25fb79c3ba0,FIRSTEXEC-73b0a25fb79c3ba0,FIRSTPAGE-b55961124bc8610b,226,left,226-left,39,1,38,0,0,0,20,1,979a35ea62021076db7dcb3811a0b072c8345de792d1ce4141210e5e6555f11d,33b5db107016a04c5a2ea28b640487c46abe8a079421182a2f66c0a890cebd51,00ee5b0b21524c73891372cdee1136f5466ddf7c6e401770c6231f2331f423a6,847c7c54bd72de365bdda6b2ab03f795a769b5dddce8c1f4fb312efea799978b,专业计划数；再选科目；学费,专业计划数；再选科目；学费,1,1,1,专业计划数；学费；再选科目=1,20,13,19,1,0,18,1,6,7,5,39,39,39,39,0,39,先核PDF原页，再核湖北官方侧，最后对照高校辅证=1；按PDFOCR候选回看PDF原页，再核湖北官方侧=19；按机器坐标提示回看PDF原页，再核湖北官方侧=13；直接回看PDF原页和页列上下文=6,R0-PDFOCR与高校辅证存在冲突=1；R2-高校有线索但PDFOCR缺候选=18；R3-仅PDFOCR候选待人工核页=1；R5-无候选需人工看图=19,first-closure-226-left-csv,7345d98c1d0708be2cf5c24dd141580ea36b28c34b4b3738c093b80f4c002ee8,first-closure-226-left-html,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
FIRSTB0STATUS-ed94df7696953cc5,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_b0_conflict_status_public_ledger,PDF页码×版面列,B0冲突页列×公开核验状态压缩,false,false,false,false,false,false,false,false,21,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTFSTATUS-ed94df7696953cc5,FIRSTPAGECAND-9458745b1415558a,FIRSTEXEC-9458745b1415558a,FIRSTPAGE-ed94df7696953cc5,226,right,226-right,4,2,2,0,0,0,2,2,32b2095c6859d7c91375c78850d761f2e1efcb85848649166e54811be1470e6b,32b2095c6859d7c91375c78850d761f2e1efcb85848649166e54811be1470e6b,03906792757ef5d9538a69d0ced9b1886ee353fef8ac46edd5fdc9153e914481,c85143d94acd5295d06e8c770bff2974b57914881dc5863ff5a2e865aa1ab817,专业计划数；再选科目；学费,专业计划数；再选科目；学费,2,2,2,专业计划数；学费；再选科目=2,2,0,2,2,0,0,0,2,4,2,4,4,4,4,0,4,先核PDF原页，再核湖北官方侧，最后对照高校辅证=2；直接回看PDF原页和页列上下文=2,R0-PDFOCR与高校辅证存在冲突=2；R5-无候选需人工看图=2,first-closure-226-right-csv,33109f0093ab3e76404a85a10aee6187eab51f596b25297a0c6c98c71a4ef8f4,first-closure-226-right-html,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,R0-B0冲突未闭环，字段事实不得写回,P1-多字段冲突或双人复核较多，优先核PDF原页,优先核冲突字段所在行的PDF原页和湖北官方侧；若高校辅证与PDF原页不一致，升级双人复核并保留差异。,B0冲突字段完成PDF原页人工记录、湖北官方系统或省招办计划记录、高校官网或章程辅证记录；双人复核完成并记录三方一致性后，才允许进入字段事实写回评估。,公开层只保存页列级计数、字段类型、证据编号、集合SHA、状态桶和门禁；不保存学校专业明细、字段备选内容、OCR原文、人工核验内容、私有路径或登录信息。
