W0B0执行预填包公开审计ID,来源W0B0最小人工复核包,来源W0B0最小人工复核明细,来源B0冲突页列核验状态,来源第一闭环公开证据地图,来源W0B0执行预填明细公开审计,来源W0B0私有预填材料,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行预填包序号,W0B0最小人工复核包ID,B0冲突页列核验状态ID,来源页码,版面列,页码版面键,B0冲突优先级判定,最小人工复核事实数,执行预填明细数,专业组边界事实数,明确冲突字段事实数,专业名归属事实数,专业计划数字段事实数,学费字段事实数,再选科目字段事实数,任务回连事实数,字段确认回连事实数,PDFOCR提示事实数,机器坐标提示事实数,高校辅证线索事实数,PDFOCR与高校冲突事实数,需人工看图事实数,需双人复核事实数,私有页图存在,私有OCR文本存在,私有页列CSV证据编号,私有页列CSV_SHA256,私有页图_SHA256,私有OCR文本_SHA256,事实集合SHA256,任务ID集合SHA256,专业行ID集合SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,下一步,公开安全策略
W0B0EXEPKT-3d7fe3650f399533,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,1,W0B0MANPKT-4377877606819f0d,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,P0-整页列高冲突，先双人核PDF原页与湖北官方侧,22,22,1,21,0,10,10,1,21,21,22,0,22,21,21,22,true,true,W0B0-PRIVATE-PAGE-135-left,bf98b5981f4f828451b6fa3bb4bdc7df9143ce7f5ec93b2c39fbb1fe9fce7620,c6bdb619e23f376d0be395e803de9ece928e0219c77a08dfad956006dc4773cd,0be10230dee9f8ffb9631d0486efde85f7e345cad7355fe982a3de60748a24d9,30015308778038a377cf1930ebaf0fd2bf65dd250bc6c408812cc0902441476c,341184f10270fbdb2f0c3e81355e50894f0ac0d659248439b743088fcf7ffcc9,686493426e0aa0a7206688f89894e9cd970b0679c68fa8e6f3ea956e4f005af9,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-f379853908bcd329,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,2,W0B0MANPKT-100fa6274e1d03ed,FIRSTB0STATUS-ffc90431edf15154,18,left,018-left,P1-多字段冲突或双人复核较多，优先核PDF原页,13,13,1,12,0,4,4,4,12,12,13,1,13,12,13,4,true,true,W0B0-PRIVATE-PAGE-018-left,6c4fe0521e93c6501c79ab1eac30028f92d9bc306833729a6aa3890ce8e0ed1c,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,a6fa465fc8d8948146a583c768558ab669e55ba3f40f612c55a04c8288dc157c,b83e6d4f79d082acfa8cc896ee99cac027700e38301e7836242032989a3f729a,871f7f6b49e4fbaf05269fb87cd5754e64dae3a9730f19e0a6939a685cc1670d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-55d7d9c31577da0d,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,3,W0B0MANPKT-ba37423af5e98088,FIRSTB0STATUS-97ab0abc16a6bf85,199,left,199-left,P1-多字段冲突或双人复核较多，优先核PDF原页,11,11,1,9,1,3,3,3,10,10,11,1,10,9,9,10,true,true,W0B0-PRIVATE-PAGE-199-left,de69b842ab6487d432d2c952cd1c3b711d6563692c7b26e2d4d8f2ee6a7e1c86,04a13d07b958a2165704e51511b21dd8118c1335395644eb673a1f635a140903,2ae6fc4cdede1ac2acb60fa71836d17c1e43d420f4e29bff25a05f11f53a114c,fa74403a3fa1f495eb386f4c6bc8fc2f5ff404c986764513767f3bfd79f34c87,b1a8592645c6053020dadf6db75cb50f19e56e7fe4a87bbcbed4c0556ee638af,21e3787e19b97f5770f6af204baab1644f60a6363e8c1a826d9665eceefb4d52,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-1f19559eb2dbf363,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,4,W0B0MANPKT-88105520e62ee00c,FIRSTB0STATUS-e942d34407576c0d,209,right,209-right,P1-多字段冲突或双人复核较多，优先核PDF原页,10,10,1,6,3,2,2,2,9,9,10,0,7,6,7,7,true,true,W0B0-PRIVATE-PAGE-209-right,88b69bceae1fd49346134eb0c1b7081372284aa89e8e8e0cc29e20d4b312ae5f,337319545a8e1edf5715aaa7b029ef8d17fe80c292f94c3f2029acb31192c0c6,520d92ba4334d4b40d89fb3db44c45f283e2cfeba5ac01c717626e097c981217,bbcf0224aaba1a9e89039df170b05dc86f95dfef54a91dfa187d16f97d35b063,6740ef79ad491721d405fe04ae034caf2f1513113e12da198a1b966af57b5fb0,4d897444e67a64579c154bdafcb40870770d39e7d226871a5969560197422644,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-6d483d61dac8daaa,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,5,W0B0MANPKT-a5740353320cf69b,FIRSTB0STATUS-ed94df7696953cc5,226,right,226-right,P1-多字段冲突或双人复核较多，优先核PDF原页,7,7,1,6,0,2,2,2,6,6,7,0,7,6,7,1,true,true,W0B0-PRIVATE-PAGE-226-right,10efed2c11e54bcd918906daebca0f81562155166f0888c8d875c838abf2b413,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,e72f71b0db9c4df2b970d71ba4cbbfcfe1aa24e43acf2fd2b27044caa6f27d7e,5dccde714248e8eaa7ab4639626d9e4378659af2eefd98f41cb5c09f2bd8982c,1c003f4532ef56430a6c1d3605dd5b537cd3478e45f81900c321675f05bf356e,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-a1a7068fe66eda46,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,6,W0B0MANPKT-e770bdb780cfee87,FIRSTB0STATUS-b55961124bc8610b,226,left,226-left,P1-多字段冲突或双人复核较多，优先核PDF原页,5,5,1,3,1,1,1,1,4,4,5,1,4,3,4,1,true,true,W0B0-PRIVATE-PAGE-226-left,326e8fbdd91d1ec01eb92ffaa7e29a6375a0fd8e605a95fb3344f87457e717ac,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,3a4c2c78a1805e386a6732e67a32668bf2113b4324d8c8b55e525a64d4ebdca6,5e1cf5e71d6da36765e7601c221c7aa9d3655f51e81db51271ef37eab7af646b,006204a7c10079575d801df57b7b1f52f917162482498615444e55d2ab171391,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-2b5fe344227b909d,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,7,W0B0MANPKT-2c87c6c25ede47d4,FIRSTB0STATUS-815b76bed7962001,169,right,169-right,P1-多字段冲突或双人复核较多，优先核PDF原页,4,4,1,2,1,1,1,0,3,3,4,0,3,2,3,3,true,true,W0B0-PRIVATE-PAGE-169-right,402b7366954b842687e3077c8b5b261442adaaecff9d724eff72be880347a4aa,68154a8768710ed161ae9744da6f34c0186a97e0ea1823cd0bea01436a70a3f1,18292a8fa070135424a25d704f78f3bd8e18d0b477ce5beff8c5e3dd4049be34,d3479097243138f5f655bb9742dbd62d30c7aa9ef47caf6fb8d92823f8efb587,13c3a6f93029e060343740b2fe5e09df95a049a7f026d9d4adc3eea0629bf040,eeb1eeebe31fcef047ecf85c2814e5b2af929bd9fde85034e6bb8f06d8cc8a3e,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-bd34d6c9078ebb28,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,8,W0B0MANPKT-914c772cbb04c08d,FIRSTB0STATUS-f58ca9d1af902d1a,37,left,037-left,P3-单点冲突，随同页列材料完成核验,6,6,1,3,2,1,1,1,5,5,6,0,4,3,4,4,true,true,W0B0-PRIVATE-PAGE-037-left,6583a0b13e4ddd2aaf8a0f6abbd83bbb224b31555ed87797746e896bb2319ef2,0f71485e0cc4cbe486a173fab6d3297d5f95051a59147d56aa098be032713dff,15166656bdbaad58678026a88161e252db2e9bce912ead6631331d738f676ce9,7a42a35761ac71b84402076a96ce8cb8a3b78020bc0f6f9c59601f17acca42a4,91e55e42035f189c6c67c925e1a1ebf112c8e9e699f3cb0271af96d42ddd7add,07b141eca7bfd88b5255f4f48a4d6480c9b4779fadf2da11dce07d04f7c37333,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-2ac4a519e7668a21,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,9,W0B0MANPKT-b98d706e103469ea,FIRSTB0STATUS-4c0f16a37d308b85,56,left,056-left,P3-单点冲突，随同页列材料完成核验,5,5,1,3,1,1,1,1,4,4,5,1,4,3,4,1,true,true,W0B0-PRIVATE-PAGE-056-left,4a9e8b25fb686d2bf264368e6905e7879bcb281f3fa5b5b37fa989be64aca7a2,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,5ec5a942201650603b1d9afc5f031b2d8367fe1ef2f7f5fbee3a9e13ccc3ac0f,31ba60cddb67529e9dd33059fce77e2bf5fe53b3c94192667ff65ba528658c6b,26a21189094c04bb05c5f9a0594771bf159c76a74414612e58754aa860a975ec,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
W0B0EXEPKT-41302d985c8a71f6,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_packets,W0-B0页列最小执行预填包,页列×最小事实×私有预填,false,false,false,false,false,false,false,false,10,W0B0MANPKT-e8f1fc7ad9077d1d,FIRSTB0STATUS-7826a50352856b5d,137,right,137-right,P3-单点冲突，随同页列材料完成核验,4,4,1,3,0,1,1,1,3,3,4,0,4,3,3,4,true,true,W0B0-PRIVATE-PAGE-137-right,8ede3eb5efad809fdfa564632b320351960f0ccf5872835222ae65b8c39725eb,35edae1167745f43f2b7b2907fa17a4150c9e60938893ca1d78a41a4a3895e40,cdf690a0ad7024134f4106f13b158ff7680097db5b3441bd4debf41df886a7e4,48f405079ce8aacc31fd30f7be1be2d0db8d105e57ffae0f1cf2fafddcc997b5,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,按页列打开私有预填CSV和PDF原页，先核专业组边界，再核冲突字段和专业名归属；核完仍需湖北官方侧闭环。,公开层只保存页列计数、状态、ID和私有材料SHA；不公开学校专业明细、字段读数、OCR正文或人工备注。
